0022301198,1610612744,Golden State Warriors,123.0,116.0,7.0,0.778,3.89,23.6,100.0,0.553,0.591
0022301198,1610612762,Utah Jazz,116.0,123.0,-7.0,0.478,1.1,15.9,100.0,0.596,0.604
0022301189,1610612748,Miami Heat,116.8,104.0,12.8,0.63,1.53,20.2,101.0,0.58,0.619
0022301189,1610612761,Toronto Raptors,104.0,116.8,-12.8,0.605,1.21,16.3,99.0,0.472,0.519
0022301193,1610612763,Memphis Grizzlies,107.8,122.3,-14.6,0.489,1.69,15.4,103.0,0.49,0.514
0022301193,1610612743,Denver Nuggets,122.3,107.8,14.6,0.696,1.78,21.3,103.0,0.584,0.627
0022301195,1610612740,New Orleans Pelicans,105.9,122.8,-16.9,0.634,1.37,19.0,102.0,0.564,0.586
0022301195,1610612747,Los Angeles Lakers,122.8,105.9,16.9,0.667,2.13,22.5,101.0,0.615,0.653
0022301192,1610612755,Philadelphia 76ers,107.0,86.9,20.1,0.732,2.14,20.5,100.0,0.5,0.521
0022301192,1610612751,Brooklyn Nets,86.9,107.0,-20.1,0.594,1.46,15.5,99.0,0.44,0.475
0022301194,1610612750,Minnesota Timberwolves,114.0,133.0,-19.0,0.611,0.92,17.0,93.0,0.579,0.634
0022301194,1610612756,Phoenix Suns,133.0,114.0,19.0,0.596,2.15,20.8,94.0,0.64,0.665
0022301196,1610612760,Oklahoma City Thunder,127.4,81.9,45.5,0.704,2.53,24.2,106.0,0.629,0.649
0022301196,1610612742,Dallas Mavericks,81.9,127.4,-45.5,0.594,1.27,13.7,105.0,0.371,0.412
0022301188,1610612754,Indiana Pacers,146.7,107.5,39.3,0.631,2.56,25.4,107.0,0.745,0.752
0022301188,1610612737,Atlanta Hawks,107.5,146.7,-39.3,0.641,1.47,17.5,107.0,0.506,0.57
0022301180,1610612759,San Antonio Spurs,121.0,121.2,-0.2,0.689,1.72,21.5,100.0,0.618,0.636
0022301180,1610612743,Denver Nuggets,121.2,121.0,0.2,0.633,3.44,21.9,99.0,0.572,0.592
0022301175,1610612752,New York Knicks,123.3,120.2,3.1,0.553,4.2,17.5,90.0,0.542,0.59
0022301175,1610612751,Brooklyn Nets,120.2,123.3,-3.1,0.537,1.57,17.4,89.0,0.567,0.592
0022301171,1610612755,Philadelphia 76ers,121.4,108.7,12.7,0.524,1.69,16.3,103.0,0.58,0.623
0022301171,1610612753,Orlando Magic,108.7,121.4,-12.7,0.581,2.27,17.6,104.0,0.495,0.533
0022301172,1610612764,Washington Wizards,121.0,120.6,0.4,0.711,2.67,22.4,105.0,0.628,0.643
0022301172,1610612741,Chicago Bulls,120.6,121.0,-0.4,0.583,2.15,18.5,107.0,0.561,0.585
0022301179,1610612760,Oklahoma City Thunder,123.8,107.0,16.8,0.617,2.9,21.2,101.0,0.601,0.639
